chi2	redchi2	g	g_error	k	k_error	support	p-value	AIC	AICc	csv_number	component
1352.2017382567255	4.147858092812042	2.977466929473087e-08	9.708615315217929e-09	0.00021222558492620304	3.157579815317872e-05	1.0	0.0	1498.664824989751	1498.701748066674	00000	x
4700.670307189834	14.41923407113446	1.5156353653094418e-07	1.067391667462327e-08	0.00032272972673840134	9.268966910500016e-06	1.0	0.0	2904.1668866388673	2904.20380971579	00000	y
4687.332489885688	14.378320521121744	6.656142751877536e-08	4.706243557303261e-09	0.00014277693693905038	4.119492298398433e-06	1.0	0.0	3536.0073845898773	3536.0443076668003	00000	c0int
2291.617345912633	4.307551402091415	2.1840813868685775e-07	1.7754104055916623e-08	0.0006746152292781845	2.2218119938166362e-05	1.0	0.0	2537.563094115765	2537.5856929858214	00001	x
24255.394748643634	45.59284727188653	4.868935931919773e-07	1.6132793089193264e-08	0.0005119778950324793	1.0348283913855018e-05	1.0	0.0	6398.392992358759	6398.415591228816	00001	y
3080.400500791554	5.790226505247282	3.055971024093272e-08	1.8328026808786094e-09	7.138332790890201e-05	1.7284545043010692e-06	1.0	0.0	5367.204681578562	5367.227280448618	00001	c0int
5408.510737721707	10.147299695537912	2.1232293649521816e-06	7.162989990644776e-08	0.0023090069923018884	4.619638996729001e-05	1.0	0.0	2579.7496090873246	2579.772165478302	00002	x
64226.18848720744	120.4994155482316	2.1614235541700167e-06	5.0953410069124504e-08	0.0008395290751341633	2.6214408505224625e-05	1.0	0.0	6929.218619280874	6929.241175671851	00002	y
1953.930485260966	3.6659108541481538	1.0546193936455252e-08	5.12735341372547e-10	1.9469959286893365e-05	4.0153562041281466e-07	1.0	0.0	6256.7001857657815	6256.722742156759	00002	c0int
