chi2	redchi2	g	g_error	k	k_error	support	p-value	AIC	AICc	csv_number	component
1703.8496419570645	3.1967160261858623	9.329271160111947e-07	2.822925355193824e-08	0.0008139142754352046	1.7496364935274023e-05	1.0	0.0	2009.320786448559	2009.3433428395363	00000	x
5702.000292434612	10.69793675878914	9.071041924962971e-07	2.3081913669917812e-08	0.0004865599044447776	1.2971040879574951e-05	1.0	0.0	4143.5185149068875	4143.541071297865	00000	y
1354.6176966589192	2.5414966166208615	2.5980907845948405e-09	1.325205882867886e-10	5.057797505162435e-06	1.0730540293465661e-07	1.0	0.0	7013.806262959348	7013.828819350325	00000	c0int
2499.1172726355117	6.611421356178602	9.884518738172167e-08	9.034154090445334e-09	0.00029066518742647046	1.0705297937883422e-05	1.0	0.0	2322.8294852668655	2322.8613155055923	00001	x
3946.300070146559	10.439947275519998	1.9528867883802983e-07	1.0065795096021905e-08	0.0003140048857707284	7.3205818628180326e-06	1.0	0.0	3394.625435103072	3394.657265341799	00001	y
3604.902355663426	9.536778718686312	3.1019278785512253e-08	1.9465156031942405e-09	6.337945024315812e-05	1.6413608822097368e-06	1.0	0.0	4361.547761989614	4361.5795922283405	00001	c0int
7109.653961858937	13.364011206501761	6.094488697427267e-07	3.673957474208706e-08	0.0014250900266568353	3.461289085864285e-05	1.0	0.0	3695.4331346235026	3695.455733493559	00002	x
195225.28688707593	366.9648249757066	1.1305841908759143e-06	3.080914603192397e-08	0.0007541860201243681	1.817414282098591e-05	1.0	0.0	8911.634609661987	8911.657208532044	00002	y
3351.1276114275493	6.299112051555544	2.4881963807690125e-08	1.4351305923628668e-09	5.561900223372036e-05	1.2994643631969297e-06	1.0	0.0	5616.963548778321	5616.9861476483775	00002	c0int
